UDN,ESTADO,CODIGO,Razon_Social,CLIENTE,RFC,FECHA_ALTA,FECHA_BAJA,CONTACTO,VALES,ESTADO_CRED,DIAS_CRED,LIMITE_CRED,OBSERVACIONES,OBSERVACIONES_CRED
UDN_000001,20,CLIENTE_000001,Cliente 000001,Cliente 000001,RFC_000001,28/11/2001,15/12/2025,,,0,0,0,,
UDN_000001,20,CLIENTE_000002,Cliente 000002,Cliente 000002,RFC_000001,16/09/2013,27/12/2026,,,0,0,0,,
UDN_000001,20,CLIENTE_000003,Cliente 000003,Cliente 000003,RFC_000002,06/11/2015,23/07/2026,,,1,90,1000000,,Dato anonimizado
UDN_000001,20,CLIENTE_000004,Cliente 000004,Cliente 000004,RFC_000003,06/11/2015,23/02/2026,,0,0,0,0,Dato anonimizado,Dato anonimizado
UDN_000001,20,CLIENTE_000005,Cliente 000005,Cliente 000005,RFC_000002,06/11/2015,19/09/2026,,,0,0,0,,
UDN_000001,20,CLIENTE_000006,Cliente 000006,Cliente 000006,RFC_000002,12/06/2016,28/05/2026,,0,0,0,0,,
UDN_000001,20,CLIENTE_000007,Cliente 000007,Cliente 000007,RFC_000002,12/06/2016,12/01/2026,,0,0,0,0,,Dato anonimizado
UDN_000001,20,CLIENTE_000008,Cliente 000008,Cliente 000008,RFC_000002,12/06/2016,17/12/2025,,0,0,0,0,,
UDN_000001,20,CLIENTE_000009,Cliente 000009,Cliente 000009,RFC_000002,12/06/2016,28/05/2026,,0,0,0,0,,
UDN_000001,20,CLIENTE_000010,Cliente 000010,Cliente 000010,RFC_000002,12/06/2016,28/05/2026,,0,0,0,0,,
UDN_000001,20,CLIENTE_000011,Cliente 000011,Cliente 000011,RFC_000002,31/07/2016,28/05/2026,,,0,0,0,,
UDN_000001,20,CLIENTE_000012,Cliente 000012,Cliente 000012,RFC_000002,31/07/2016,28/05/2026,,,0,0,0,,
UDN_000001,20,CLIENTE_000013,Cliente 000013,Cliente 000013,RFC_000002,31/07/2016,02/06/2026,,,0,0,0,,
UDN_000001,20,CLIENTE_000014,Cliente 000014,Cliente 000014,RFC_000002,31/07/2016,19/09/2026,,,0,0,0,,
UDN_000001,20,CLIENTE_000015,Cliente 000015,Cliente 000015,RFC_000002,31/07/2016,28/05/2026,,,0,0,0,,
UDN_000001,20,CLIENTE_000016,Cliente 000016,Cliente 000016,RFC_000002,31/07/2016,28/05/2026,,,0,0,0,,
UDN_000001,20,CLIENTE_000017,Cliente 000017,Cliente 000017,RFC_000004,05/01/2017,18/11/2026,,0,0,0,0,,
UDN_000001,20,CLIENTE_000018,Cliente 000018,Cliente 000018,RFC_000003,14/03/2017,15/09/2026,,,0,0,0,,
