SYSUDN_CODIGO_K,LIQUID_REFERENCIA,CTECLI_CODIGO_K,CFGEPL_CODIGO_K,CFGEPL_NOMBRE,CFGECO_CODIGO_K,CFGECO_DESCRIPCION,LIQUID_AYUDANTE1,LIQUID_AYUDANTE2,LIQUID_FECHAENT,VTARUT_CODIGO_K,VTARUT_DESCRIPCION,PRODUC_CODIGO_K,PRODUC_DESCRIPCION,PROPRE_CODIGO_K,FACDOC_FECHA,TPO_VTA,PIEZAS,COSTO,IMPORTE,LIQUIDACION,VENTA
UDN_000002,REF_000001,,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000001,PROD_000002,09/02/2027,BONIFICACION,1,0,0,0,8273.58
UDN_000002,REF_000001,,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000003,PRODUCTO_000002,PROD_000004,09/02/2027,CARGO,1,0,0,0,8273.58
UDN_000002,REF_000001,,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000003,PRODUCTO_000003,PROD_000005,09/02/2027,BONIFICACION,1,0,0,0,8273.58
UDN_000002,REF_000001,CLIENTE_018996,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,5,39,195,195,8273.58
UDN_000002,REF_000001,CLIENTE_018999,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,6,39,234,234,8273.58
UDN_000002,REF_000001,CLIENTE_019012,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,4,39,156,156,8273.58
UDN_000002,REF_000001,CLIENTE_019029,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,15,39,585,585,8273.58
UDN_000002,REF_000001,CLIENTE_019003,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,4,39,156,156,8273.58
UDN_000002,REF_000001,CLIENTE_019018,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,25,39,975,975,8273.58
UDN_000002,REF_000001,CLIENTE_019742,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CREDITO,6,36,-216,0,8273.58
UDN_000002,REF_000001,CLIENTE_019675,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,4,39,156,156,8273.58
UDN_000002,REF_000001,CLIENTE_020160,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,3,39,117,117,8273.58
UDN_000002,REF_000001,CLIENTE_020199,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,6,39,234,234,8273.58
UDN_000002,REF_000001,CLIENTE_020299,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,7,39,273,273,8273.58
UDN_000002,REF_000001,CLIENTE_020822,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,6,39,234,234,8273.58
UDN_000002,REF_000001,CLIENTE_020833,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,4,39,156,156,8273.58
UDN_000002,REF_000001,CLIENTE_021923,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,5,39,195,195,8273.58
UDN_000002,REF_000001,CLIENTE_022110,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,4,39,156,156,8273.58
